Data;Hora UTC;"PRECIPITA??O TOTAL, HOR?RIO (mm)";"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)";PRESS?O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESS?O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m?);"TEMPERATURA DO AR - BULBO SECO, HORARIA (?C)";TEMPERATURA DO PONTO DE ORVALHO (?C);TEMPERATURA M?XIMA NA HORA ANT. (AUT) (?C);TEMPERATURA M?NIMA NA HORA ANT. (AUT) (?C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (?C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (?C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);"UMIDADE RELATIVA DO AR, HORARIA (%)";"VENTO, DIRE??O HORARIA (gr) (? (gr))";"VENTO, RAJADA MAXIMA (m/s)";"VENTO, VELOCIDADE HORARIA (m/s)"
01/01/2021;0000 UTC;0;"1011,1";"1011,1";"1010,4";;"24,9";"21,6";26;"24,8";22;"20,7";84;73;82;44;"3,7";0
01/01/2021;0100 UTC;0;"1011,1";"1011,2";"1010,8";;"24,6";"21,4";"24,9";"24,3";"21,7";"21,2";85;82;83;252;"1,9";"0,7"
01/01/2021;0200 UTC;0;1011;"1011,1";1011;;"23,6";"21,2";"24,6";"23,6";"21,5";"21,2";87;83;87;273;"1,7";"0,2"
01/01/2021;0300 UTC;0;"1010,3";1011;"1010,3";;"22,8";"20,8";"23,6";"22,8";"21,3";"20,8";88;87;88;250;"1,9";0
01/01/2021;0400 UTC;0;"1009,6";"1010,3";"1009,6";;"22,4";"20,5";"22,8";"22,4";"20,8";"20,5";89;88;89;255;"1,2";"0,3"
01/01/2021;0500 UTC;0;"1008,8";"1009,6";"1008,7";;22;"20,3";"22,4";22;"20,5";"20,2";90;89;90;244;"1,4";0
01/01/2021;0600 UTC;0;"1008,5";"1008,8";"1008,5";;"21,9";"20,3";"22,1";"21,9";"20,5";"20,3";90;90;90;239;"0,8";0
01/01/2021;0700 UTC;0;"1008,5";"1008,6";"1008,3";;"21,7";20;"21,9";"21,6";"20,3";20;91;90;91;41;1;0
01/01/2021;0800 UTC;0;1009;1009;"1008,5";;"21,6";20;"21,8";"21,6";"20,2";20;91;91;91;247;"1,1";"0,2"
01/01/2021;0900 UTC;0;"1009,9";"1009,9";1009;"101,4";"22,2";"20,6";"22,2";"21,6";"20,6";20;91;91;91;26;"1,1";0
01/01/2021;1000 UTC;0;"1010,6";"1010,6";"1009,9";"429,5";"24,5";"22,5";"24,5";"22,2";"22,5";"20,7";91;89;89;89;"0,5";0
01/01/2021;1100 UTC;0;"1010,8";"1010,8";"1010,6";"833,7";"26,5";"22,1";"26,5";"24,4";"22,9";"21,8";89;76;77;88;"0,9";"0,1"
01/01/2021;1200 UTC;0;"1010,8";"1010,9";"1010,8";"1781,9";"28,5";"21,2";"28,5";"26,5";"22,8";"21,1";77;64;64;153;2;"0,2"
01/01/2021;1300 UTC;0;"1010,9";1011;"1010,7";"2374,9";"28,3";"21,4";"29,9";"28,3";"22,8";"20,8";67;62;66;144;"3,3";"1,5"
01/01/2021;1400 UTC;0;"1010,9";1011;"1010,8";"3227,5";"29,8";"21,1";"30,1";"28,3";"22,4";"20,1";68;57;60;192;5;"1,2"
01/01/2021;1500 UTC;0;"1011,3";"1011,3";"1010,9";"2639,6";"28,5";"20,9";"29,8";"28,3";"22,9";"20,1";70;59;63;215;"5,6";"1,4"
01/01/2021;1600 UTC;0;"1011,1";"1011,3";"1011,1";"1388,7";"27,5";"20,5";"28,9";"27,3";"21,9";"19,6";67;60;66;254;6;"1,9"
01/01/2021;1700 UTC;0;"1010,8";"1011,2";"1010,8";"1110,9";"27,2";"20,4";"27,8";"27,1";"20,9";20;68;64;66;254;"4,7";1
01/01/2021;1800 UTC;0;"1010,5";"1010,8";"1010,5";"835,9";"26,7";"20,6";"27,2";"26,5";"21,3";20;72;66;69;332;"4,6";"1,2"
01/01/2021;1900 UTC;0;"1010,4";"1010,7";"1010,3";"682,9";"26,5";21;"26,9";"26,3";"21,4";"20,3";73;69;72;114;"3,4";"0,7"
01/01/2021;2000 UTC;0;"1010,5";"1010,5";"1010,2";"383,5";"25,9";"21,6";"26,7";"25,9";"21,9";"20,4";78;70;77;226;"2,4";0
01/01/2021;2100 UTC;0;"1011,1";"1011,1";"1010,5";"90,2";"25,1";22;26;"25,1";"22,2";"21,7";83;77;83;51;"1,6";0
01/01/2021;2200 UTC;"0,6";"1011,7";"1011,7";"1011,1";"0,5";"23,4";21;"25,1";"23,4";"22,1";21;87;83;87;232;"2,4";"0,5"
01/01/2021;2300 UTC;0;"1011,6";"1011,8";"1011,4";;"23,1";"20,9";"24,3";"23,1";"21,6";"20,9";88;84;88;235;"4,1";"0,4"
02/01/2021;0000 UTC;0;"1012,3";"1012,3";"1011,6";;"22,5";"20,7";"23,1";"22,5";21;"20,7";90;88;90;267;"1,5";"0,2"
02/01/2021;0100 UTC;0;1013;1013;"1012,3";;"22,3";"20,7";"22,5";"22,3";"20,7";"20,6";90;90;90;297;"1,7";0
02/01/2021;0200 UTC;0;"1012,7";"1013,1";"1012,7";;"22,2";"20,6";"22,4";"22,2";"20,7";"20,6";91;90;91;252;"1,4";"0,1"
02/01/2021;0300 UTC;0;"1012,3";"1012,8";"1012,3";"1,2";"22,4";"20,9";"22,5";"22,1";"20,9";"20,5";91;91;91;255;"1,8";"0,2"
02/01/2021;0400 UTC;0;"1011,5";"1012,3";"1011,5";"1,7";"22,6";21;"22,7";"22,4";"21,1";"20,9";91;91;91;251;"1,5";"0,5"
02/01/2021;0500 UTC;0;1011;"1011,5";1011;;"22,4";"20,8";"22,6";"22,4";21;"20,8";91;91;91;224;"1,5";0
02/01/2021;0600 UTC;0;"1010,8";1011;"1010,8";;"22,2";"20,7";"22,4";"22,2";"20,9";"20,7";91;91;91;271;"1,3";"0,3"
