Data;Hora UTC;"PRECIPITA??O TOTAL, HOR?RIO (mm)";"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)";PRESS?O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESS?O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m?);"TEMPERATURA DO AR - BULBO SECO, HORARIA (?C)";TEMPERATURA DO PONTO DE ORVALHO (?C);TEMPERATURA M?XIMA NA HORA ANT. (AUT) (?C);TEMPERATURA M?NIMA NA HORA ANT. (AUT) (?C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (?C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (?C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);"UMIDADE RELATIVA DO AR, HORARIA (%)";"VENTO, DIRE??O HORARIA (gr) (? (gr))";"VENTO, RAJADA MAXIMA (m/s)";"VENTO, VELOCIDADE HORARIA (m/s)"
01/01/2021;0000 UTC;"0,6";"1008,7";"1008,7";1008;"2,2";"23,5";"21,7";"24,9";"22,9";"21,7";"20,2";90;80;89;289;"7,4";"2,9"
01/01/2021;0100 UTC;0;"1009,3";"1009,3";"1008,6";"0,9";24;"21,5";"24,3";"23,5";22;"21,2";89;84;86;241;"5,7";"2,1"
01/01/2021;0200 UTC;0;"1008,9";"1009,3";"1008,8";;"24,9";"21,6";"24,9";"23,5";"22,2";"21,5";89;82;82;348;"5,3";1
01/01/2021;0300 UTC;0;"1008,4";1009;"1008,4";"0,6";"24,6";"20,9";"25,6";"23,9";"21,6";"20,5";84;77;80;221;"3,5";"0,8"
01/01/2021;0400 UTC;0;"1007,6";"1008,4";"1007,5";0;"24,4";"21,2";25;"24,3";"21,3";"20,9";83;78;83;274;"2,6";"0,7"
01/01/2021;0500 UTC;0;"1006,8";"1007,6";"1006,8";;"23,9";"21,4";"24,3";"23,8";"21,6";"21,1";86;83;86;50;"3,1";"1,6"
01/01/2021;0600 UTC;0;"1006,6";"1006,8";"1006,6";;"23,8";"21,7";"24,1";"23,7";22;"21,4";89;86;88;79;"3,8";"1,3"
01/01/2021;0700 UTC;0;"1006,4";"1006,6";"1006,4";"0,6";"23,3";"21,5";24;"23,3";"22,1";"21,5";90;88;90;86;"2,4";"1,3"
01/01/2021;0800 UTC;0;1007;1007;"1006,4";;"22,9";"21,6";"23,5";"22,9";"22,1";"21,4";92;90;92;87;"3,1";"1,8"
01/01/2021;0900 UTC;0;"1007,8";"1007,9";1007;"82,1";"23,2";22;"23,4";"22,7";"22,2";"21,5";93;92;93;73;"3,2";"1,7"
